,0
0,Alaska
1,Colorado
2,Connecticut
3,Georgia
4,Hawaii
5,Idaho
6,Illinois
7,Indiana
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,New Hampshire
13,New Jersey
14,New Mexico
15,North Dakota
16,Oklahoma
17,Oregon
18,Pennsylvania
19,Rhode Island
20,South Dakota
21,Tennessee
22,Virginia
23,Washington
24,Wisconsin
25,Wyoming
